0x30000000  mv	s0, zero
0x30000004  auipc	sp, 0xdf002
0x30000008  addi	sp, sp, -0x104
0x3000000c  jal	4
0x30000010  addi	sp, sp, -0xc
0x30000014  sw	ra, 8(sp)
0x30000018  auipc	t1, 0x70000
0x3000001c  addi	t1, t1, -0x18
0x30000020  auipc	a1, 0x70000
0x30000024  addi	a1, a1, 0x44
0x30000028  auipc	a0, 0
0x3000002c  addi	a0, a0, 0x40
0x30000030  bgeu	t1, a1, 0x30
0x30000034  mv	a5, t1
0x30000038  mv	a3, a0
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
0x30000044  addi	a5, a5, 1
0x30000048  andi	a4, a4, 0xff
0x3000004c  sb	a4, 0(a2)
0x30000050  addi	a3, a3, 1
0x30000054  bne	a5, a1, -0x18
0x3000003c  lbu	a4, 0(a3)
0x30000040  mv	a2, a5
