Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_10429_,1.1,1.752e-05,0.000e+00,1.592e-07,1.767e-05
_09956_,1.1,9.918e-06,0.000e+00,4.253e-07,1.034e-05
_10380_,1.1,9.748e-06,0.000e+00,1.439e-07,9.891e-06
_12720_,1.1,8.251e-06,0.000e+00,2.193e-07,8.470e-06
_10448_,1.1,8.299e-06,0.000e+00,8.288e-08,8.382e-06
_13391_,1.1,7.928e-06,0.000e+00,1.366e-07,8.064e-06
_13305_,1.1,7.801e-06,0.000e+00,2.176e-07,8.018e-06
_13386_,1.1,7.604e-06,0.000e+00,1.362e-07,7.740e-06
_11293_,1.1,7.558e-06,0.000e+00,1.523e-07,7.710e-06
_09950_,1.1,6.897e-06,0.000e+00,7.370e-07,7.634e-06
_13432_,1.1,7.058e-06,0.000e+00,2.263e-07,7.284e-06
_09969_,1.1,6.406e-06,0.000e+00,6.890e-07,7.095e-06
_09963_,1.1,6.595e-06,0.000e+00,4.593e-07,7.055e-06
_10975_,1.1,6.746e-06,0.000e+00,1.352e-07,6.881e-06
_13379_,1.1,6.745e-06,0.000e+00,1.340e-07,6.879e-06
_13105_,1.1,6.683e-06,0.000e+00,1.340e-07,6.817e-06
_11144_,1.1,6.581e-06,0.000e+00,1.482e-07,6.729e-06
_12672_,1.1,6.489e-06,0.000e+00,2.318e-07,6.721e-06
_12844_,1.1,6.357e-06,0.000e+00,2.324e-07,6.589e-06
_12984_,1.1,6.127e-06,0.000e+00,2.318e-07,6.358e-06
_10455_,1.1,6.104e-06,0.000e+00,8.595e-08,6.190e-06
_12415_,1.1,5.946e-06,0.000e+00,1.335e-07,6.080e-06
_10452_,1.1,5.991e-06,0.000e+00,8.629e-08,6.077e-06
_10450_,1.1,5.978e-06,0.000e+00,8.629e-08,6.064e-06
_10460_,1.1,5.978e-06,0.000e+00,8.595e-08,6.064e-06
_10458_,1.1,5.970e-06,0.000e+00,8.595e-08,6.056e-06
_10451_,1.1,5.970e-06,0.000e+00,8.629e-08,6.056e-06
_10459_,1.1,5.968e-06,0.000e+00,8.595e-08,6.054e-06
_10456_,1.1,5.957e-06,0.000e+00,8.595e-08,6.043e-06
_10457_,1.1,5.941e-06,0.000e+00,8.595e-08,6.027e-06
_10367_,1.1,5.851e-06,0.000e+00,9.459e-08,5.945e-06
_13100_,1.1,5.792e-06,0.000e+00,1.325e-07,5.924e-06
_13374_,1.1,5.791e-06,0.000e+00,1.325e-07,5.924e-06
_12874_,1.1,5.791e-06,0.000e+00,1.325e-07,5.923e-06
_12703_,1.1,5.791e-06,0.000e+00,1.325e-07,5.923e-06
_13058_,1.1,5.791e-06,0.000e+00,1.325e-07,5.923e-06
_12606_,1.1,5.790e-06,0.000e+00,1.325e-07,5.923e-06
_13199_,1.1,5.789e-06,0.000e+00,1.325e-07,5.922e-06
_09570_,1.1,5.386e-06,0.000e+00,3.573e-07,5.743e-06
_13193_,1.1,5.613e-06,0.000e+00,1.255e-07,5.739e-06
_12600_,1.1,5.613e-06,0.000e+00,1.255e-07,5.739e-06
_12868_,1.1,5.613e-06,0.000e+00,1.255e-07,5.739e-06
_12697_,1.1,5.613e-06,0.000e+00,1.255e-07,5.739e-06
_13368_,1.1,5.613e-06,0.000e+00,1.255e-07,5.739e-06
_13095_,1.1,5.613e-06,0.000e+00,1.255e-07,5.739e-06
_13052_,1.1,5.613e-06,0.000e+00,1.255e-07,5.738e-06
_09961_,1.1,5.414e-06,0.000e+00,2.297e-07,5.643e-06
_10365_,1.1,5.284e-06,0.000e+00,1.133e-07,5.397e-06
_10012_,1.1,4.984e-06,0.000e+00,1.180e-07,5.102e-06
_10084_,1.1,4.973e-06,0.000e+00,1.173e-07,5.091e-06
_10868_,1.1,4.973e-06,0.000e+00,8.803e-08,5.061e-06
_10037_,1.1,4.941e-06,0.000e+00,1.190e-07,5.060e-06
_10858_,1.1,4.927e-06,0.000e+00,4.916e-08,4.976e-06
_11071_,1.1,4.858e-06,0.000e+00,8.823e-08,4.946e-06
_10808_,1.1,4.875e-06,0.000e+00,4.916e-08,4.924e-06
_10008_,1.1,4.831e-06,0.000e+00,8.801e-08,4.919e-06
_10897_,1.1,4.806e-06,0.000e+00,6.300e-08,4.869e-06
_10364_,1.1,4.732e-06,0.000e+00,1.030e-07,4.835e-06
_10431_,1.1,4.731e-06,0.000e+00,7.844e-08,4.810e-06
_10362_,1.1,4.651e-06,0.000e+00,1.216e-07,4.773e-06
_09977_,1.1,4.249e-06,0.000e+00,1.119e-07,4.361e-06
_10072_,1.1,4.243e-06,0.000e+00,1.119e-07,4.355e-06
_09966_,1.1,3.979e-06,0.000e+00,3.238e-07,4.303e-06
_09952_,1.1,3.874e-06,0.000e+00,4.253e-07,4.299e-06
_11065_,1.1,4.138e-06,0.000e+00,5.033e-08,4.188e-06
_13530_,1.1,4.049e-06,0.000e+00,8.638e-08,4.135e-06
_10350_,1.1,4.046e-06,0.000e+00,6.746e-08,4.113e-06
_10378_,1.1,4.029e-06,0.000e+00,5.862e-08,4.088e-06
_09949_,1.1,3.718e-06,0.000e+00,3.685e-07,4.087e-06
_10662_,1.1,4.010e-06,0.000e+00,5.164e-08,4.061e-06
_10408_,1.1,3.978e-06,0.000e+00,5.840e-08,4.037e-06
_10440_,1.1,3.936e-06,0.000e+00,8.425e-08,4.020e-06
_10210_,1.1,3.873e-06,0.000e+00,1.011e-07,3.974e-06
_10816_,1.1,3.812e-06,0.000e+00,8.598e-08,3.898e-06
_09992_,1.1,3.522e-06,0.000e+00,3.685e-07,3.891e-06
_10226_,1.1,3.745e-06,0.000e+00,1.017e-07,3.846e-06
_10190_,1.1,3.596e-06,0.000e+00,5.607e-08,3.653e-06
_10869_,1.1,3.576e-06,0.000e+00,4.785e-08,3.624e-06
_16658_,1.1,3.532e-06,0.000e+00,3.224e-08,3.564e-06
_17015_,1.1,3.500e-06,0.000e+00,5.100e-08,3.551e-06
_09986_,1.1,3.386e-06,0.000e+00,8.671e-08,3.473e-06
_09973_,1.1,3.300e-06,0.000e+00,9.861e-08,3.399e-06
_10078_,1.1,3.253e-06,0.000e+00,1.452e-07,3.398e-06
_10095_,1.1,3.241e-06,0.000e+00,1.162e-07,3.358e-06
_10159_,1.1,3.260e-06,0.000e+00,8.414e-08,3.344e-06
_10663_,1.1,3.225e-06,0.000e+00,7.227e-08,3.297e-06
_10344_,1.1,3.200e-06,0.000e+00,5.814e-08,3.258e-06
_10027_,1.1,3.073e-06,0.000e+00,1.721e-07,3.245e-06
_09760_,1.1,3.161e-06,0.000e+00,3.905e-08,3.200e-06
_10355_,1.1,3.069e-06,0.000e+00,7.855e-08,3.147e-06
_10289_,1.1,2.962e-06,0.000e+00,1.710e-07,3.133e-06
_10245_,1.1,2.961e-06,0.000e+00,1.710e-07,3.132e-06
_10856_,1.1,3.075e-06,0.000e+00,4.111e-08,3.116e-06
_10864_,1.1,3.052e-06,0.000e+00,5.953e-08,3.112e-06
_10058_,1.1,3.017e-06,0.000e+00,7.445e-08,3.092e-06
_10882_,1.1,3.040e-06,0.000e+00,4.111e-08,3.081e-06
_10806_,1.1,3.025e-06,0.000e+00,4.111e-08,3.066e-06
_10814_,1.1,2.974e-06,0.000e+00,5.953e-08,3.033e-06
_16941_,1.1,2.991e-06,0.000e+00,2.520e-08,3.016e-06
_10253_,1.1,2.917e-06,0.000e+00,7.506e-08,2.992e-06
_10908_,1.1,2.938e-06,0.000e+00,4.111e-08,2.979e-06
_10346_,1.1,2.920e-06,0.000e+00,5.075e-08,2.971e-06
