Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
pc_fix_reg_24__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_B_Y_OR4X1P4H7L_B,1.2,5.492e-03,0.000e+00,1.669e-09,5.492e-03
pc_fix_reg_13__reg_p_D_AND4X0P5H7L_Y_D_AND4X0P5H7L_D_Y_NOR4X1H7L_C_Y_NAND4X4H7L_A,1.2,5.382e-03,0.000e+00,6.024e-10,5.382e-03
pc_fix_reg_16__reg_p_D_OA211X1P4H7L_Y_A0_OAI211X0P7H7L_A0_Y_OAI211X6H7L_B0,1.2,3.677e-03,0.000e+00,2.385e-09,3.677e-03
pc_fix_reg_24__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_B_Y_OR4X1P4H7L_B_Y_NOR4X6H7L_D,1.2,3.439e-03,0.000e+00,1.153e-09,3.439e-03
pc_fix_reg_19__reg_p_D_NOR2BX1H7L_Z_AN_XOR2X0P5H7L_B_Y_NAND4X1P4H7L_A,1.2,2.670e-03,0.000e+00,3.023e-10,2.670e-03
pc_fix_reg_7__reg_p_D_AOA211X1P4H7L_Y_A0_AOI32X1P4H7L_A0,1.2,1.994e-03,0.000e+00,9.891e-10,1.994e-03
pc_fix_reg_5__reg_p_D_AOA211X1P4H7L_Y_B0_OAI211X0P7H7L_A0,1.2,1.900e-03,0.000e+00,5.497e-10,1.900e-03
pc_fix_reg_17__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_B,1.2,1.787e-03,0.000e+00,3.091e-09,1.787e-03
pc_fix_reg_3__reg_p_D_AOI211X0P5H7L_Y_A1_AO221X0P5H7L_B1,1.2,1.713e-03,0.000e+00,1.692e-09,1.713e-03
pc_fix_reg_14__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_B_Y_NOR4X6H7L_C,1.2,1.677e-03,0.000e+00,1.275e-09,1.677e-03
pc_fix_reg_14__reg_p_D_NOR2X0P5H7L_Y_B_AO221X1H7L_Y,1.2,1.623e-03,0.000e+00,1.736e-09,1.623e-03
pc_fix_reg_17__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_B_Y_NOR4X3H7L_B,1.2,1.332e-03,0.000e+00,7.552e-10,1.332e-03
pc_fix_reg_12__reg_p_D_NOR2BX1H7L_Z_AN_AOI221X1P4H7L_Y,1.2,1.232e-03,0.000e+00,1.146e-09,1.232e-03
pc_fix_reg_23__reg_p_D_NOR2X0P5H7L_Y_B_AOAI211X1P4H7L_Y_B0_OAI31X1H7L_Y_A2_AOI221X0P7H7L_Y_B0_AOI22X6H7L_B0,1.2,1.070e-03,0.000e+00,3.908e-09,1.070e-03
pc_fix_reg_17__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_B_Y_NOR4X3H7L_B_A_NOR2BX1H7L_Z_B_AOI222X0P5H7L_Y,1.2,1.025e-03,0.000e+00,1.001e-09,1.025e-03
pc_fix_reg_19__reg_p_D_NOR2BX1H7L_Z_AN_XOR2X0P5H7L_B,1.2,9.652e-04,0.000e+00,3.100e-09,9.652e-04
pc_fix_reg_19__reg_p_D_NOR2BX1H7L_Z_AN_AOI31X1P4H7L_Y,1.2,9.648e-04,0.000e+00,9.431e-10,9.648e-04
pc_fix_reg_17__reg_p_D_NOR2X0P5H7L_Y_B_NAND3X1P4H7L_Y_C_AOI31X0P7H7L_Y,1.2,9.202e-04,0.000e+00,7.861e-10,9.202e-04
pc_fix_reg_17__reg_p_D_NOR2X0P5H7L_Y_B_NAND3X1P4H7L_Y,1.2,8.972e-04,0.000e+00,5.188e-10,8.972e-04
g_gpr.regs_13_31__AOI222X0P5H7L_A0,1.2,8.340e-04,0.000e+00,9.842e-10,8.340e-04
pc_fix_reg_14__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_B_Y_NOR4X6H7L_C_D_OAI21X0P5H7L_Y_A1_AOI33X0P5H7L_Y,1.2,8.247e-04,0.000e+00,6.457e-10,8.247e-04
pc_fix_reg_17__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_B_Y_NOR4X3H7L_B_C_OR4X1P4H7L_Y,1.2,8.233e-04,0.000e+00,2.020e-09,8.233e-04
pc_fix_reg_9__reg_p_D_AOI2XB1X0P5H7L_Y_A0_NOR2X0P5H7L_B_Y_NOR4X0P5H7L_C_D_NAND4BX1P4H7L_Y,1.2,7.481e-04,0.000e+00,1.102e-09,7.481e-04
pc_fix_reg_5__reg_p_D_AOA211X1P4H7L_Y_B0_AOI211X1P4H7L_Y,1.2,7.438e-04,0.000e+00,8.094e-10,7.438e-04
pc_fix_reg_22__reg_p_D_NOR2X0P5H7L_Y_B_AOAI211X1P4H7L_Y,1.2,7.036e-04,0.000e+00,8.640e-10,7.036e-04
pc_fix_reg_20__reg_p_D_NOR2BX1H7L_Z_AN_AOI22X0P5H7L_A1,1.2,6.998e-04,0.000e+00,8.080e-10,6.998e-04
pc_fix_reg_17__reg_p_D_NOR2X0P5H7L_Y_B_NAND3X1P4H7L_Y_C_AOI31X0P7H7L_Y_B0_OAI211X1P4H7L_Y,1.2,6.844e-04,0.000e+00,6.928e-10,6.844e-04
pc_fix_reg_22__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_B,1.2,6.794e-04,0.000e+00,3.151e-09,6.794e-04
pc_fix_reg_23__reg_p_D_NOR2X0P5H7L_Y_B_AOAI211X1P4H7L_Y,1.2,6.711e-04,0.000e+00,9.230e-10,6.711e-04
pc_fix_reg_12__reg_p_D_NOR2BX1H7L_Z_AN_XNOR2X0P5H7L_B,1.2,6.615e-04,0.000e+00,3.146e-09,6.616e-04
pc_fix_reg_23__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_B,1.2,6.386e-04,0.000e+00,3.155e-09,6.386e-04
pc_fix_reg_14__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_B,1.2,6.329e-04,0.000e+00,3.160e-09,6.329e-04
pc_fix_reg_5__reg_p_D_AOA211X1P4H7L_Y,1.2,6.089e-04,0.000e+00,1.318e-09,6.089e-04
a_ifu.ar_addr_reg_24__reg_p_D_NOR2X0P5H7L_Y_B_AOI31X0P5H7L_Y_A1_OAI31X0P5H7L_Y_B0_OR4X3H7L_C,1.2,5.950e-04,0.000e+00,2.846e-09,5.950e-04
g_gpr.regs_22_22__OAI22X0P5H7L_A1_Y_AOI221X0P5H7L_A1,1.2,5.940e-04,0.000e+00,8.860e-10,5.940e-04
g_gpr.regs_22_3__OAI22X0P5H7L_A1_Y_AOI221X0P5H7L_A1,1.2,5.926e-04,0.000e+00,8.860e-10,5.926e-04
pc_fix_reg_12__reg_p_D_NOR2BX1H7L_Z_AN_AOI221X1P4H7L_Y_B0_OAI211X1P4H7L_Y,1.2,5.839e-04,0.000e+00,6.871e-10,5.839e-04
g_gpr.regs_17_20__AOI222X0P5H7L_C1,1.2,5.837e-04,0.000e+00,1.006e-09,5.837e-04
pc_fix_reg_15__reg_p_D_AOI211X0P5H7L_Y_A1_NAND2BX0P5H7L_Y_AN_OAI211X0P7H7L_Y,1.2,5.710e-04,0.000e+00,5.716e-10,5.710e-04
pc_fix_reg_19__reg_p_D_NOR2BX1H7L_Z_AN_AOI31X1P4H7L_Y_A2_OAI211X1P4H7L_Y,1.2,5.659e-04,0.000e+00,6.930e-10,5.659e-04
pc_fix_reg_4__reg_p_D_AOI211X0P5H7L_Y_A1_AOI211X1H7L_A0,1.2,5.532e-04,0.000e+00,1.145e-09,5.532e-04
b_idu.io_err2_in_reg_p_D_OAI32X1P4H7L_Y,1.2,5.247e-04,0.000e+00,9.961e-10,5.247e-04
a_ifu.io_err1_in_reg_p_D_OAI32X1P4H7L_Y,1.2,5.141e-04,0.000e+00,9.961e-10,5.141e-04
pc_fix_reg_4__reg_p_D_AOI211X0P5H7L_Y_A1_OAI21X1P4H7L_Y_A1_AO221X1H7L_Y,1.2,5.057e-04,0.000e+00,1.863e-09,5.057e-04
g_gpr.regs_24_22__AOI211X0P5H7L_A0,1.2,4.980e-04,0.000e+00,7.725e-10,4.980e-04
pc_fix_reg_13__reg_p_D_AND4X0P5H7L_Y_D_AND4X0P5H7L_D_Y_NOR4X1H7L_C,1.2,4.969e-04,0.000e+00,9.806e-10,4.969e-04
g_gpr.regs_24_3__AOI211X0P5H7L_A0,1.2,4.968e-04,0.000e+00,7.725e-10,4.968e-04
