Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_1453_,1.1,4.488e-06,0.000e+00,1.085e-07,4.596e-06
_2009_,1.1,4.310e-06,0.000e+00,1.085e-07,4.418e-06
_2275_,1.1,3.784e-06,0.000e+00,1.304e-07,3.915e-06
_1464_,1.1,2.815e-06,0.000e+00,4.593e-07,3.274e-06
_1820_,1.1,2.784e-06,0.000e+00,4.593e-07,3.243e-06
_1543_,1.1,2.784e-06,0.000e+00,4.593e-07,3.243e-06
_1831_,1.1,2.762e-06,0.000e+00,4.593e-07,3.222e-06
_1736_,1.1,3.097e-06,0.000e+00,9.833e-08,3.195e-06
_1732_,1.1,3.097e-06,0.000e+00,9.833e-08,3.195e-06
_2530_,1.1,3.095e-06,0.000e+00,9.833e-08,3.193e-06
_2027_,1.1,3.077e-06,0.000e+00,9.833e-08,3.175e-06
_2772_,1.1,3.077e-06,0.000e+00,9.833e-08,3.175e-06
_1585_,1.1,3.006e-06,0.000e+00,1.064e-07,3.113e-06
_2199_,1.1,2.403e-06,0.000e+00,5.387e-08,2.457e-06
_1630_,1.1,2.353e-06,0.000e+00,5.427e-08,2.407e-06
_1697_,1.1,2.328e-06,0.000e+00,5.427e-08,2.382e-06
_2743_,1.1,2.275e-06,0.000e+00,5.427e-08,2.329e-06
_2632_,1.1,2.275e-06,0.000e+00,5.427e-08,2.329e-06
_1496_,1.1,2.105e-06,0.000e+00,1.146e-07,2.219e-06
_2400_,1.1,2.087e-06,0.000e+00,1.146e-07,2.201e-06
_1544_,1.1,2.087e-06,0.000e+00,1.146e-07,2.201e-06
_1524_,1.1,2.060e-06,0.000e+00,1.336e-07,2.194e-06
_1483_,1.1,2.059e-06,0.000e+00,1.336e-07,2.192e-06
_2012_,1.1,2.052e-06,0.000e+00,1.336e-07,2.185e-06
_1525_,1.1,2.050e-06,0.000e+00,1.336e-07,2.183e-06
_1716_,1.1,2.050e-06,0.000e+00,1.336e-07,2.183e-06
_1482_,1.1,2.047e-06,0.000e+00,1.336e-07,2.181e-06
_1553_,1.1,2.044e-06,0.000e+00,1.336e-07,2.177e-06
_2513_,1.1,2.036e-06,0.000e+00,1.336e-07,2.169e-06
_1458_,1.1,2.041e-06,0.000e+00,3.625e-08,2.077e-06
_1698_,1.1,2.031e-06,0.000e+00,3.625e-08,2.067e-06
_1478_,1.1,1.965e-06,0.000e+00,1.007e-07,2.065e-06
_1449_,1.1,1.965e-06,0.000e+00,1.007e-07,2.065e-06
_1416_,1.1,1.965e-06,0.000e+00,1.007e-07,2.065e-06
_1611_,1.1,1.954e-06,0.000e+00,1.007e-07,2.055e-06
_2512_,1.1,1.943e-06,0.000e+00,1.007e-07,2.044e-06
