Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
validReg_$_SDFF_PP1__Q,1.1,1.070e-05,0.000e+00,3.975e-08,1.074e-05
canAccept_prng.state_0_$_DFF_P__Q,1.1,1.069e-05,0.000e+00,3.956e-08,1.073e-05
canAccept_prng.state_1_$_SDFF_PP0__Q,1.1,1.049e-05,0.000e+00,3.898e-08,1.053e-05
canAccept_prng.state_2_$_SDFF_PP0__Q,1.1,1.013e-05,0.000e+00,3.856e-08,1.017e-05
canAccept_prng.state_3_$_SDFF_PP0__Q,1.1,9.854e-06,0.000e+00,3.831e-08,9.893e-06
canAccept_prng.state_4_$_SDFF_PP0__Q,1.1,9.674e-06,0.000e+00,3.817e-08,9.713e-06
canAccept_prng.state_5_$_SDFF_PP0__Q,1.1,9.566e-06,0.000e+00,3.811e-08,9.604e-06
canAccept_prng.state_6_$_SDFF_PP0__Q,1.1,9.504e-06,0.000e+00,3.807e-08,9.542e-06
canAccept_prng.state_7_$_SDFF_PP0__Q,1.1,9.469e-06,0.000e+00,3.805e-08,9.507e-06
canAccept_prng.state_8_$_SDFF_PP0__Q,1.1,9.449e-06,0.000e+00,3.804e-08,9.487e-06
canAccept_prng.state_9_$_SDFF_PP0__Q,1.1,9.438e-06,0.000e+00,3.804e-08,9.476e-06
canAccept_prng.state_10_$_SDFF_PP0__Q,1.1,9.432e-06,0.000e+00,3.804e-08,9.470e-06
canAccept_prng.state_11_$_SDFF_PP0__Q,1.1,9.429e-06,0.000e+00,3.804e-08,9.467e-06
canAccept_prng.state_12_$_SDFF_PP0__Q,1.1,9.427e-06,0.000e+00,3.804e-08,9.465e-06
canAccept_prng.state_13_$_SDFF_PP0__Q,1.1,9.426e-06,0.000e+00,3.804e-08,9.464e-06
canAccept_prng.state_14_$_SDFF_PP0__Q,1.1,9.426e-06,0.000e+00,3.804e-08,9.464e-06
canAccept_prng.state_15_$_SDFF_PP0__Q,1.1,9.426e-06,0.000e+00,3.804e-08,9.464e-06
_15702_,1.1,8.449e-06,0.000e+00,3.649e-08,8.485e-06
_15677_,1.1,8.449e-06,0.000e+00,3.649e-08,8.485e-06
_15675_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15672_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15676_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15674_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15673_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15701_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15671_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15670_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15678_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15692_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15691_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15690_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15689_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15688_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15693_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15694_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15687_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15695_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15686_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15685_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15684_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15683_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15682_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15681_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15697_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15700_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
_15699_,1.1,8.386e-06,0.000e+00,3.649e-08,8.423e-06
