Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_610_,1.1,5.256e-06,0.000e+00,8.233e-08,5.338e-06
_593_,1.1,5.051e-06,0.000e+00,8.321e-08,5.134e-06
_611_,1.1,4.013e-06,0.000e+00,7.066e-08,4.084e-06
_607_,1.1,3.643e-06,0.000e+00,7.144e-08,3.714e-06
_590_,1.1,3.562e-06,0.000e+00,9.144e-08,3.653e-06
_497_,1.1,2.780e-06,0.000e+00,4.593e-07,3.239e-06
_630_,1.1,2.780e-06,0.000e+00,4.593e-07,3.239e-06
_745_,1.1,2.780e-06,0.000e+00,4.593e-07,3.239e-06
_759_,1.1,2.773e-06,0.000e+00,4.593e-07,3.232e-06
_634_,1.1,2.766e-06,0.000e+00,4.593e-07,3.225e-06
_637_,1.1,2.759e-06,0.000e+00,4.593e-07,3.218e-06
_517_,1.1,2.759e-06,0.000e+00,4.593e-07,3.218e-06
_790_,1.1,3.073e-06,0.000e+00,1.064e-07,3.179e-06
_562_,1.1,2.817e-06,0.000e+00,1.022e-07,2.919e-06
_601_,1.1,2.507e-06,0.000e+00,5.102e-08,2.558e-06
validReg_$_SDFF_PP1__Q,1.1,2.501e-06,0.000e+00,3.975e-08,2.541e-06
_680_,1.1,2.264e-06,0.000e+00,5.427e-08,2.319e-06
_878_,1.1,2.129e-06,0.000e+00,3.649e-08,2.165e-06
_597_,1.1,2.073e-06,0.000e+00,2.405e-08,2.098e-06
_633_,1.1,1.995e-06,0.000e+00,1.007e-07,2.095e-06
_506_,1.1,1.963e-06,0.000e+00,1.007e-07,2.063e-06
_491_,1.1,1.954e-06,0.000e+00,1.007e-07,2.055e-06
_756_,1.1,1.920e-06,0.000e+00,1.007e-07,2.021e-06
_747_,1.1,1.915e-06,0.000e+00,1.007e-07,2.015e-06
_851_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_870_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_871_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_872_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_873_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_874_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_875_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_876_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_877_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_853_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_850_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_849_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_848_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_847_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_846_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_869_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_855_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_852_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_856_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_857_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_858_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_859_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_854_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_860_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_861_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_862_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_863_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_864_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_865_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_866_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_867_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_868_,1.1,1.944e-06,0.000e+00,3.649e-08,1.981e-06
_791_,1.1,1.875e-06,0.000e+00,1.007e-07,1.975e-06
_560_,1.1,1.818e-06,0.000e+00,9.188e-08,1.910e-06
_588_,1.1,1.770e-06,0.000e+00,4.319e-08,1.814e-06
_603_,1.1,1.714e-06,0.000e+00,3.558e-08,1.750e-06
_557_,1.1,1.640e-06,0.000e+00,9.204e-08,1.732e-06
_660_,1.1,1.662e-06,0.000e+00,5.319e-08,1.716e-06
regs_30_$_SDFFE_PP0P__Q,1.1,1.651e-06,0.000e+00,3.890e-08,1.690e-06
regs_17_$_SDFFE_PP0P__Q,1.1,1.646e-06,0.000e+00,3.890e-08,1.685e-06
regs_1_$_SDFFE_PP0P__Q,1.1,1.646e-06,0.000e+00,3.890e-08,1.685e-06
regs_21_$_SDFFE_PP0P__Q,1.1,1.643e-06,0.000e+00,3.890e-08,1.682e-06
regs_11_$_SDFFE_PP0P__Q,1.1,1.642e-06,0.000e+00,3.890e-08,1.681e-06
regs_5_$_SDFFE_PP0P__Q,1.1,1.642e-06,0.000e+00,3.890e-08,1.681e-06
regs_26_$_SDFFE_PP0P__Q,1.1,1.642e-06,0.000e+00,3.890e-08,1.681e-06
regs_18_$_SDFFE_PP0P__Q,1.1,1.642e-06,0.000e+00,3.890e-08,1.681e-06
regs_29_$_SDFFE_PP0P__Q,1.1,1.642e-06,0.000e+00,3.890e-08,1.681e-06
regs_16_$_SDFFE_PP0P__Q,1.1,1.642e-06,0.000e+00,3.890e-08,1.681e-06
regs_13_$_SDFFE_PP0P__Q,1.1,1.642e-06,0.000e+00,3.890e-08,1.681e-06
regs_7_$_SDFFE_PP0P__Q,1.1,1.642e-06,0.000e+00,3.890e-08,1.681e-06
_654_,1.1,1.447e-06,0.000e+00,2.297e-07,1.677e-06
regs_3_$_SDFFE_PP0P__Q,1.1,1.638e-06,0.000e+00,3.890e-08,1.677e-06
