Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_1326_,1.1,2.994e-06,0.000e+00,1.064e-07,3.100e-06
_1124_,1.1,2.294e-06,0.000e+00,7.242e-08,2.366e-06
state_reg_$_DFF_P__Q_7,1.1,2.164e-06,0.000e+00,3.968e-08,2.203e-06
_1093_,1.1,2.011e-06,0.000e+00,1.007e-07,2.112e-06
ar_valid_reg_$_SDFF_PP0__Q,1.1,2.069e-06,0.000e+00,3.885e-08,2.107e-06
state_reg_$_DFF_P__Q,1.1,2.050e-06,0.000e+00,3.891e-08,2.089e-06
state_reg_$_DFF_P__Q_3,1.1,1.995e-06,0.000e+00,3.877e-08,2.033e-06
_1123_,1.1,1.927e-06,0.000e+00,1.007e-07,2.028e-06
_1180_,1.1,1.918e-06,0.000e+00,1.007e-07,2.019e-06
aw_valid_reg_$_SDFF_PP0__Q,1.1,1.974e-06,0.000e+00,3.860e-08,2.013e-06
_1091_,1.1,1.907e-06,0.000e+00,1.007e-07,2.007e-06
_1122_,1.1,1.906e-06,0.000e+00,1.007e-07,2.007e-06
fanout_buf_1,1.1,1.819e-06,0.000e+00,1.722e-07,1.991e-06
_1089_,1.1,1.882e-06,0.000e+00,1.007e-07,1.982e-06
_1109_,1.1,1.881e-06,0.000e+00,1.007e-07,1.982e-06
state_reg_$_DFF_P__Q_2,1.1,1.941e-06,0.000e+00,2.785e-08,1.968e-06
_1098_,1.1,1.861e-06,0.000e+00,1.007e-07,1.962e-06
_1092_,1.1,1.861e-06,0.000e+00,1.007e-07,1.962e-06
_1090_,1.1,1.861e-06,0.000e+00,1.007e-07,1.961e-06
state_reg_$_DFF_P__Q_1,1.1,1.912e-06,0.000e+00,2.900e-08,1.941e-06
_1181_,1.1,1.820e-06,0.000e+00,1.007e-07,1.921e-06
_1379_,1.1,1.874e-06,0.000e+00,2.753e-08,1.902e-06
state_reg_$_DFF_P__Q_6,1.1,1.852e-06,0.000e+00,2.561e-08,1.877e-06
_1133_,1.1,1.685e-06,0.000e+00,1.722e-07,1.857e-06
state_reg_$_DFF_P__Q_5,1.1,1.731e-06,0.000e+00,3.856e-08,1.770e-06
state_reg_$_DFF_P__Q_4,1.1,1.725e-06,0.000e+00,3.838e-08,1.764e-06
_1384_,1.1,1.691e-06,0.000e+00,3.649e-08,1.728e-06
_1387_,1.1,1.691e-06,0.000e+00,3.649e-08,1.728e-06
_1388_,1.1,1.691e-06,0.000e+00,3.649e-08,1.728e-06
_1389_,1.1,1.691e-06,0.000e+00,3.649e-08,1.728e-06
_1390_,1.1,1.691e-06,0.000e+00,3.649e-08,1.728e-06
_1391_,1.1,1.691e-06,0.000e+00,3.649e-08,1.728e-06
_1134_,1.1,1.638e-06,0.000e+00,5.319e-08,1.691e-06
w_valid_reg_$_SDFF_PP0__Q,1.1,1.650e-06,0.000e+00,2.190e-08,1.672e-06
_1386_,1.1,1.594e-06,0.000e+00,3.649e-08,1.631e-06
_1385_,1.1,1.572e-06,0.000e+00,3.649e-08,1.609e-06
_1383_,1.1,1.549e-06,0.000e+00,3.649e-08,1.586e-06
_0857_,1.1,1.505e-06,0.000e+00,4.211e-08,1.547e-06
temp_$_SDFFE_PP0P__Q,1.1,1.486e-06,0.000e+00,2.881e-08,1.515e-06
_0907_,1.1,1.401e-06,0.000e+00,2.570e-08,1.427e-06
ar_addr_reg_$_SDFFE_PP0P__Q_19,1.1,1.364e-06,0.000e+00,3.911e-08,1.403e-06
_0972_,1.1,1.266e-06,0.000e+00,9.863e-08,1.365e-06
_1097_,1.1,1.325e-06,0.000e+00,2.702e-08,1.353e-06
_1108_,1.1,1.311e-06,0.000e+00,2.702e-08,1.338e-06
_1121_,1.1,1.294e-06,0.000e+00,2.702e-08,1.322e-06
ar_addr_reg_$_SDFFE_PP0P__Q_27,1.1,1.276e-06,0.000e+00,3.871e-08,1.314e-06
ar_addr_reg_$_SDFFE_PP0P__Q_4,1.1,1.274e-06,0.000e+00,3.895e-08,1.313e-06
ar_addr_reg_$_SDFFE_PP0P__Q_7,1.1,1.274e-06,0.000e+00,3.895e-08,1.313e-06
